cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
1.061021212121212,0.0,0.0,56.54205050505051,51.0,90.7071,39.8179,89.0227,0.0,False,False,False,False
1.061021212121212,90.8762090909091,99.9967,84.78177575757576,49.0,84.1291,64.7841,5.703,1.0,True,True,True,False
1.061021212121212,88.85674444444446,99.9967,87.86739191919193,98.0,82.6797,91.5141,11.0153,1.0,True,False,True,True
1.061021212121212,84.81781515151516,99.9967,90.83314545454546,98.0,12.1996,72.0769,16.7461,0.0,True,False,False,True
1.061021212121212,0.0,0.0,94.87595353535356,35.0,96.9361,61.9382,9.2178,0.0,False,False,False,False
3.0610212121212124,97.95406767676768,99.9967,87.80746060606062,27.0,76.3792,73.6257,61.8686,0.0,True,True,False,False
1.061021212121212,97.95406767676768,99.9967,86.80746060606062,48.0,33.0124,48.5266,6.8757,0.0,True,False,False,False
0.0515,97.94433535353537,99.9967,84.79033737373739,63.0,3.9878,96.5523,15.8663,1.0,True,True,False,False
13.175275757575758,0.0,99.9967,84.78177575757576,31.0,51.2587,23.7691,2.2337,0.0,False,False,False,False
1.061021212121212,90.8762090909091,99.9967,84.78177575757576,18.0,72.6326,92.9963,76.9819,1.0,True,True,True,True
1.061021212121212,89.86647676767679,99.9967,84.86739191919193,17.0,43.3262,90.5037,37.0594,1.0,True,False,True,True
1.061021212121212,90.8762090909091,99.9967,84.86739191919193,78.0,50.8331,96.4122,16.5598,0.0,True,False,False,False
1.061021212121212,98.95406767676768,99.9967,84.80746060606062,34.0,46.0578,27.7997,56.5956,1.0,True,False,True,True
11.156233333333333,0.0,0.0,94.86739191919192,41.0,97.7584,38.4799,12.0882,0.0,False,False,False,True
1.061021212121212,23.817815151515163,98.9967,21.83314545454546,91.0,5.5556,80.6662,38.3397,1.0,True,False,True,True
3.0610212121212124,97.95406767676768,99.9967,87.80746060606062,47.0,80.5772,71.9532,99.3432,0.0,False,False,True,False
1.0515,98.95406767676768,83.83653838383839,56.54205050505051,38.0,55.644,83.8609,57.6185,1.0,True,True,True,False
1.061021212121212,97.95406767676768,77.77647777777779,84.78177575757576,23.0,18.6143,31.021,39.2123,0.0,True,True,False,False
1.061021212121212,97.94433535353537,99.9967,84.78177575757576,53.0,17.7821,10.72,76.392,0.0,False,True,True,True
1.061021212121212,90.8762090909091,99.9967,81.77321414141414,45.0,34.7622,70.5592,66.2633,1.0,True,False,True,True
1.061021212121212,98.95406767676768,99.9967,87.83314545454546,26.0,73.0122,95.816,22.5528,1.0,True,False,False,False
1.061021212121212,0.0,0.0,56.54205050505051,28.0,96.2157,61.3108,65.9681,0.0,False,False,False,True
1.061021212121212,0.0,99.9967,84.78177575757576,43.0,94.9072,31.22,73.4212,0.0,False,False,False,True
